BADEN,53.22589,4.691
SB18,52.82059,5.42725
BO7-KZ2,53.08367,5.33824
SB40,52.8195,5.6072
BS1-IN2,53.25732,5.15681
SB8,52.8225,5.353
D7-J2,53.03313,5.13749
SB-A,52.78482,5.40449
EA1,52.57963,5.22389
SG,52.88174,4.63173
EA2,52.51091,5.21666
SM7-ZS16,53.32317,5.12834
EG,53.22264,4.7848
SPORT-A,52.96667,5.16667
EL-A,52.76666,5.48639
SPORT-B,53.00833,5.23333
EZ-B,52.74231,5.37082
SPORT-C,52.8,5.15
EZ-C,52.70661,5.43262
SPORT-D,52.75833,5.3
EZ-D,52.68517,5.49433
SPORT-E,52.61667,5.5
GVS3-M8,52.98767,4.85945
SPORT-F,52.6,5.46667
H2-W1,52.95838,5.39122
SPORT-G,52.60833,5.13333
KG,52.7189,5.33344
SPORT-H,52.525,5.13333
KG10,52.67761,5.26732
SPORT-I,52.53333,5.33333
KG18,52.6482,5.23213
SPORT-J,52.46667,5.23333
KR-A,52.82572,5.22563
T11-GVS2,52.9983,4.81836
LC1,52.8557,5.30605
VF7,53.03666,5.34895
LC11,52.81032,5.30326
VF-A,52.95455,5.31722
MH4-M1,52.96893,4.79146
VF-B,52.9051,5.31383
MN1-GZ2,52.49702,5.10216
WV12,52.89543,5.10763
MR,52.94618,4.56339
WV19,52.86726,5.14886
NH,53.00382,4.58941
ZH,52.91079,4.57853
P9-BO46,53.1773,5.39678
ZS,53.30463,4.9372
